政	まつりごと, まん, セイ, ショウ	politics, government
玉	たま, たま-, -だま, ギョク	jewel, ball
波	なみ, ハ	waves, billows, Poland
帯	お.びる, おび, タイ	sash, belt, obi, zone, region
延	の.びる, の.べる, の.べ, の.ばす, エン	prolong, stretching
羽	は, わ, はね, ウ	feathers, counter for birds, rabbits
努	つと.める, ド	toil, diligent, as much as possible
固	かた.める, かた.まる, かた.まり, かた.い, コ	harden, set, clot, curdle
精	セイ, ショウ, シヤウ	refined, ghost, fairy, energy, vitality, semen, excellence, purity, skill
則	のっと.る, ソク	rule, follow, based on, model after
乱	みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る, ラン, ロン	riot, war, disorder, disturb
普	あまね.く, あまねし, フ	universal, wide(ly), generally, Prussia
散	ち.る, ち.らす, -ち.らす, ち.らかす, ち.らかる, ち.らばる, ばら, ばら.ける, サン	scatter, disperse, spend, squander
司	つかさど.る, シ	director, official, govt office, rule, administer
康	コウ	ease, peace
測	はか.る, ソク	fathom, plan, scheme, measure
豊	ゆた.か, とよ, ホウ, ブ	bountiful, excellent, rich
静	しず-, しず.か, しず.まる, しず.める, セイ, ジョウ	quiet
善	よ.い, い.い, よ.く, よし.とする, ゼン	virtuous, good, goodness
婚	コン	marriage
厚	あつ.い, あか, コウ	thick, heavy, rich, kind, cordial, brazen, shameless
喜	よろこ.ぶ, よろこ.ばす, キ	rejoice, take pleasure in
齢	よわい, とし, レイ	age
囲	かこ.む, かこ.う, かこ.い, イ	surround, besiege, store, paling, enclosure, encircle, preserve, keep
卒	そっ.する, お.える, お.わる, ついに, にわか, ソツ, シュツ	graduate, soldier, private, die
略	ほぼ, おか.す, おさ.める, はかりごと, はか.る, はぶ.く, りゃく.す, りゃく.する, リャク	abbreviation, omission, outline, shorten, capture, plunder
承	うけたまわ.る, う.ける, ささ.げる, とど.める, たす.ける, こ.らす, つい.で, すく.う, ショウ, ジョウ	acquiesce, hear, listen to, be informed, receive
浮	う.く, う.かれる, う.かぶ, む, う.かべる, フ	floating, float, rise to surface
順	ジュン	obey, order, turn, right, docility, occasion
絶	た.える, た.やす, た.つ, ゼツ	discontinue, beyond, sever, cut off, abstain, interrupt, suppress
級	キュウ	class, rank, grade
幸	さいわ.い, さち, しあわ.せ, コウ	happiness, blessing, fortune
岩	いわ, ガン	boulder, rock, cliff
練	ね.る, ね.り, レン	practice, gloss, train, drill, polish, refine
押	お.す, お.し-, お.っ-, お.さえる, おさ.える, オウ	push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of
倒	たお.れる, -だお.れ, たお.す, さかさま, さかさ, さかしま, トウ	overthrow, fall, collapse, drop, break down
了	リョウ	complete, finish
庁	やくしょ, チョウ, テイ	government office
城	しろ, ジョウ	castle
等	ひと.しい, など, -ら, トウ	etc., and so forth, class (first), quality, equal, similar
救	すく.う, キュウ	salvation, save, help, rescue, reclaim
層	ソウ	stratum, social class, layer, story, floor
版	ハン	printing block, printing plate, edition, impression, label
老	お.いる, ふ.ける, ロウ	old man, old age, grow old
令	レイ	orders, ancient laws, command, decree
角	かど, つの, カク	angle, corner, square, horn, antlers
絡	から.む, から.まる, ラク	entwine, coil around, get caught in
損	そこ.なう, そこな.う, -そこ.なう, そこ.ねる, -そこ.ねる, ソン	damage, loss, disadvantage, hurt, injure
募	つの.る, ボ	recruit, campaign, gather (contributions), enlist, grow violent
曲	ま.がる, ま.げる, くま, キョク	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
裏	うら, リ	back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side
払	はら.う, -はら.い, -ばら.い, フツ, ヒツ, ホツ	pay, clear out, prune, banish, dispose of
庭	にわ, テイ	courtyard, garden, yard
徒	いたずら, あだ, ト	on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people
仏	ほとけ, ブツ, フツ	Buddha, the dead, France
績	セキ	exploits, achievements, unreeling cocoons
築	きず.く, チク	fabricate, build, construct
貨	たから, カ	freight, goods, property
志	シリング, こころざ.す, こころざし, シ	intention, plan, resolve, aspire, motive, hopes, shilling
混	ま.じる, -ま.じり, ま.ざる, ま.ぜる, こ.む, コン	mix, blend, confuse
昇	のぼ.る, ショウ	rise up
勤	つと.める, -づと.め, つと.まる, いそ.しむ, キン, ゴン	diligence, become employed, serve
血	ち, ケツ	blood
遅	おく.れる, おく.らす, おそ.い, チ	slow, late, back, later
居	い.る, -い, お.る, キョ, コ	reside, to be, exist, live with
温	あたた.か, あたた.かい, あたた.まる, あたた.める, ぬく, オン	warm
雑	まじ.える, まじ.る, ザツ, ゾウ	miscellaneous
招	まね.く, ショウ	beckon, invite, summon, engage
季	キ	seasons
困	こま.る, コン	quandary, become distressed, annoyed
星	ほし, -ぼし, セイ, ショウ	star, spot, dot, mark
永	なが.い, エイ	eternity, long, lengthy
著	あらわ.す, いちじる.しい, チョ, チャク	renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work
誌	シ	document, records
庫	くら, コ, ク	warehouse, storehouse
刊	カン	publish, carve, engrave
像	ゾウ	statue, picture, image, figure, portrait
香	か, かお.り, かお.る, コウ, キョウ	incense, smell, perfume
欠	か.ける, か.く, ケツ, ケン	lack, gap, fail, yawning radical (no. 76)
更	さら, さら.に, ふ.ける, ふ.かす, コウ	grow late, night watch, sit up late, of course, renew, renovate, again, more and more, further
坂	さか, ハン	slope, incline, hill
刻	きざ.む, きざ.み, コク	engrave, cut fine, chop, hash, mince, time, carving
底	そこ, テイ	bottom, sole, depth, bottom price, base, kind, sort
賛	たす.ける, たた.える, サン	approve, praise, title or inscription on picture, assist, agree with
抱	だ.く, いだ.く, かか.える, ホウ	embrace, hug, hold in arms
犯	おか.す, ハン, ボン	crime, sin, offense
布	ぬの, フ	linen, cloth, spread, distribute
恐	おそ.れる, おそ.る, おそ.ろしい, こわ.い, こわ.がる, キョウ	fear, dread, awe
寺	てら, ジ	Buddhist temple
息	いき, ソク	breath, respiration, son, interest (on money)
宇	ウ	eaves, roof, house, heaven
戻	もど.す, もど.る, レイ	re-, return, revert, resume, restore, go backwards
巨	キョ	gigantic, big, large, great
震	ふる.う, ふる.える, シン	quake, shake, tremble, quiver, shiver
願	ねが.う, -ねがい, ガン	petition, request, vow, wish, hope
絵	カイ, エ	picture, drawing, painting, sketch
希	まれ, キ, ケ	hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal
越	こ.す, -こ.す, -ご.し, こ.える, -ご.え, エツ, オツ	surpass, cross over, move to, exceed, Vietnam
欲	ほっ.する, ほ.しい, ヨク	longing, covetousness, greed, passion, desire, craving
痛	いた.い, いた.む, いた.ましい, いた.める, ツウ	pain, hurt, damage, bruise
触	ふ.れる, さわ.る, さわ, ショク	contact, touch, feel, hit, proclaim, announce, conflict
依	よ.る, イ, エ	reliant, depend on, consequently, therefore, due to
汚	けが.す, けが.れる, けが.らわしい, よご.す, よご.れる, きたな.い, オ	dirty, pollute, disgrace, rape, defile
枚	マイ, バイ	sheet of..., counter for flat thin objects or sheets
笑	わら.う, え.む, ショウ	laugh
互	たが.い, かたみ.に, ゴ	mutually, reciprocally, together
複	フク	duplicate, double, compound, multiple
郵	ユウ	mail, stagecoach stop
束	たば, たば.ねる, つか, つか.ねる, ソク	bundle, sheaf, ream, tie in bundles, govern, manage, control
仲	なか, チュウ	go-between, relationship
栄	さか.える, は.え, -ば.え, は.える, え, エイ, ヨウ	flourish, prosperity, honor, glory, splendor
札	ふだ, サツ	tag, paper money, counter for bonds, placard, bid
似	に.る, ひ.る, ジ	becoming, resemble, counterfeit, imitate, suitable
恵	めぐ.む, めぐ.み, ケイ, エ	favor, blessing, grace, kindness
板	いた, ハン, バン	plank, board, plate, stage
列	レツ, レ	file, row, rank, tier, column
探	さぐ.る, さが.す, タン	grope, search, look for
逃	に.げる, に.がす, のが.す, のが.れる, トウ	escape, flee, shirk, evade, set free
節	ふし, -ぶし, のっと, セツ, セチ	node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody
骨	ほね, コツ	skeleton, bone, remains, frame
傾	かたむ.く, かたむ.ける, かたぶ.く, かた.げる, かし.げる, ケイ	lean, incline, tilt, trend, wane, sink, ruin, bias
届	とど.ける, -とど.け, とど.く, カイ	deliver, reach, arrive, report, notify, forward
遊	あそ.ぶ, あそ.ばす, ユウ, ユ	play
迷	まよ.う, メイ	astray, be perplexed, in doubt, lost, err, illusion
夢	ゆめ, ゆめ.みる, くら.い, ム, ボウ	dream, vision, illusion
巻	ま.く, まき, ま.き, カン, ケン	scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)
君	きみ, -ぎみ, クン	mister, you, ruler, male name suffix
燃	も.える, も.やす, も.す, ネン	burn, blaze, glow
閉	と.じる, と.ざす, し.める, し.まる, た.てる, ヘイ	closed, shut
緒	お, いとぐち, ショ, チョ	thong, beginning, inception, end, cord, strap, mental or emotional state
包	つつ.む, くる.む, ホウ	wrap, pack up, cover, conceal
駐	チュウ	stop-over, reside in, resident
賃	チン	fare, fee, hire, rent, wages, charge
折	お.る, おり, お.り, -お.り, お.れる, セツ	fold, break, fracture, bend, yield, submit
紹	ショウ	introduce, inherit, help
草	くさ, くさ-, -ぐさ, ソウ	grass, weeds, herbs, pasture, write, draft
雇	やと.う, コ	employ, hire
暮	く.れる, く.らす, ボ	evening, twilight, season's end, livelihood, make a living, spend time
替	か.える, か.え-, か.わる, タイ	exchange, spare, substitute, per-
預	あず.ける, あず.かる, ヨ	deposit, custody, leave with, entrust to
焼	や.く, や.き, や.き-, -や.き, や.ける, ショウ	bake, burning
簡	えら.ぶ, ふだ, カン, ケン	simplicity, brevity
章	ショウ	badge, chapter, composition, poem, design
臓	はらわた, ゾウ	entrails, viscera, bowels
律	リツ, リチ, レツ	rhythm, law, regulation, gauge, control
贈	おく.る, ゾウ, ソウ	presents, send, give to, award to, confer on, presenting something
照	て.る, て.らす, て.れる, ショウ	illuminate, shine, compare, bashful
宙	チュウ	mid-air, air, space, sky, memorization, interval of time
酒	さけ, さか-, シュ	sake, alcohol
薄	うす.い, うす-, -うす, うす.める, うす.まる, うす.らぐ, うす.ら-, うす.れる, すすき, ハク	dilute, thin, weak (tea), pampas grass
群	む.れる, む.れ, むら, むら.がる, グン	flock, group, crowd, herd, swarm, cluster
悲	かな.しい, かな.しむ, ヒ	grieve, sad, deplore, regret
秒	ビョウ	second (1/60 minute)
操	みさお, あやつ.る, ソウ, サン	maneuver, manipulate, operate, steer, chastity, virginity, fidelity
奥	おく, おく.まる, くま, オウ	heart, interior
詰	つ.める, つ.め, -づ.め, つ.まる, つ.む, キツ, キチ	packed, close, pressed, reprove, rebuke, blame
晴	は.れる, は.れ, は.れ-, -ば.れ, は.らす, セイ	clear up
双	ふた, たぐい, ならぶ, ふたつ, ソウ	pair, set, comparison, counter for pairs
刺	さ.す, さ.さる, さ.し, さし, とげ, シ	thorn, pierce, stab, prick, sting, calling card
到	いた.る, トウ	arrival, proceed, reach, attain, result in
寝	ね.る, ね.かす, い.ぬ, みたまや, や.める, シン	lie down, sleep, rest, bed, remain unsold
壁	かべ, ヘキ	wall, lining (stomach), fence
仮	かり, かり-, カ, ケ	sham, temporary, interim, assumed (name), informal
純	ジュン	genuine, purity, innocence, net (profit)
盗	ぬす.む, ぬす.み, トウ	steal, rob, pilfer
吸	す.う, キュウ	suck, imbibe, inhale, sip
看	み.る, カン	watch over, see
翌	ヨク	the following, next
陽	ひ, ヨウ	sunshine, yang principle, positive, male, heaven, daytime
快	こころよ.い, カイ	cheerful, pleasant, agreeable, comfortable
片	かた-, かた, ヘン	one-sided, leaf, sheet, right-side kata radical (no. 91)
敬	うやま.う, ケイ, キョウ	awe, respect, honor, revere
悩	なや.む, なや.ます, なや.ましい, なやみ, ノウ	trouble, worry, in pain, distress, illness
泉	いずみ, セン	spring, fountain
御	おん-, お-, み-, ギョ, ゴ	honorable, manipulate, govern
皮	かわ, ヒ	pelt, skin, hide, leather, skin radical (no. 107)
漁	あさ.る, ギョ, リョウ	fishing, fishery
荒	あら.い, あら-, あ.れる, あ.らす, -あ.らし, すさ.む, コウ	laid waste, rough, rude, wild
貯	た.める, たくわ.える, チョ	savings, store, lay in, keep, wear mustache
硬	かた.い, コウ	stiff, hard
歯	よわい, は, よわ.い, よわい.する, シ	tooth, cog
埋	う.める, う.まる, う.もれる, うず.める, うず.まる, い.ける, マイ	bury, be filled up, embedded
柱	はしら, チュウ	pillar, post, cylinder, support
祭	まつ.る, まつ.り, まつり, サイ	ritual, offer prayers, celebrate, deify, enshrine, worship
袋	ふくろ, タイ, ダイ	sack, bag, pouch
忘	わす.れる, ボウ	forget
雪	ゆき, セツ	snow
筆	ふで, ヒツ	writing brush, writing, painting brush, handwriting
吹	ふ.く, スイ	blow, breathe, puff, emit, smoke
訓	おし.える, よ.む, くん.ずる, クン, キン	instruction, Japanese character reading, explanation, read
浴	あ.びる, あ.びせる, ヨク	bathe, be favored with, bask in
童	わらべ, ドウ	juvenile, child
宝	たから, ホウ	treasure, wealth, valuables
封	フウ, ホウ	seal, closing
胸	むね, むな-, キョウ	bosom, breast, chest, heart, feelings
娘	むすめ, こ, ジョウ	daughter, girl
砂	すな, サ, シャ	sand
塩	しお, エン	salt
誤	あやま.る, -あやま.る, ゴ	mistake, err, do wrong, mislead
賢	かしこ.い, ケン	intelligent, wise, wisdom, cleverness
腕	うで, ワン	arm, ability, talent
較	くら.べる, カク, コウ	contrast, compare
兆	きざ.す, きざ.し, チョウ	portent, 10**12, trillion, sign, omen, symptoms
床	とこ, ゆか, ショウ	bed, counter for beds, floor, padding, tatami
畑	はた, はたけ, -ばたけ	farm, field, garden, one's specialty, (kokuji)
慣	な.れる, な.らす, カン	accustomed, get used to, become experienced
毛	け, モウ	fur, hair, feather, down
緑	みどり, リョク, ロク	green
尊	たっと.い, とうと.い, たっと.ぶ, とうと.ぶ, ソン	revered, valuable, precious, noble, exalted
祝	いわ.う, シュク, シュウ	celebrate, congratulate
礼	レイ, ライ	salute, bow, ceremony, thanks, remuneration
窓	まど, てんまど, けむだし, ソウ, ス	window, pane
柔	やわ.らか, やわ.らかい, やわ, やわ.ら, ジュウ, ニュウ	tender, weakness, gentleness, softness
昔	むかし, セキ, シャク	once upon a time, antiquity, old times
殿	との, -どの, デン, テン	Mr., hall, mansion, palace, temple, lord
濃	こ.い, ノウ	concentrated, thick, dark, undiluted
液	エキ	fluid, liquid, juice, sap, secretion
貧	まず.しい, ヒン, ビン	poverty, poor
衣	ころも, きぬ, -ぎ, イ, エ	garment, clothes, dressing
肩	かた, ケン	shoulder
零	ぜろ, こぼ.す, こぼ.れる, レイ	zero, spill, overflow, nothing, cipher
怒	いか.る, おこ.る, ド, ヌ	angry, be offended
泳	およ.ぐ, エイ	swim
祖	ソ	ancestor, pioneer, founder
幼	おさな.い, ヨウ	infancy, childhood
荷	に, カ	baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight
泊	と.まる, と.める, ハク	overnight, put up at, ride at anchor, 3-day stay
杯	さかずき, ハイ	counter for cupfuls, wine glass, glass, toast
黄	き, こ-, コウ, オウ	yellow
甘	あま.い, あま.える, あま.やかす, うま.い, カン	sweet, coax, pamper, be content, sugary
臣	シン, ジン	retainer, subject
浅	あさ.い, セン	shallow, superficial, frivolous, wretched, shameful
掃	は.く, ソウ, シュ	sweep, brush
雲	くも, -ぐも, ウン	cloud
掘	ほ.る, クツ	dig, delve, excavate
疲	つか.れる, -づか.れ, つか.らす, ヒ	exhausted, tire, weary
捨	す.てる, シャ	discard, throw away, abandon, resign, reject, sacrifice
皆	みな, みんな, カイ	all, everything
軟	やわ.らか, やわ.らかい, ナン	soft
沈	しず.む, しず.める, チン, ジン	sink, be submerged, subside, be depressed, aloes
鳴	な.く, な.る, な.らす, メイ	chirp, cry, bark, sound, ring, echo, honk
凍	こお.る, こご.える, こご.る, い.てる, し.みる, トウ	frozen, congeal, refrigerate
腹	はら, フク	abdomen, belly, stomach
乳	ちち, ち, ニュウ	milk, breasts
煙	けむ.る, けむり, けむ.い, エン	smoke
恋	こ.う, こい, こい.しい, レン	romance, in love, yearn for, miss, darling
紅	べに, くれない, あか.い, コウ, ク	crimson, deep red
郊	コウ	outskirts, suburbs, rural area
腰	こし, ヨウ	loins, hips, waist, low wainscoting
炭	すみ, タン	charcoal, coal
踊	おど.る, ヨウ	jump, dance, leap, skip
冊	ふみ, サツ, サク	tome, counter for books, volume
眠	ねむ.る, ねむ.い, ミン	sleep, die, sleepy
勇	いさ.む, ユウ	courage, cheer up, be in high spirits, bravery, heroism
械	かせ, カイ	contraption, fetter, machine, instrument
怖	こわ.い, こわ.がる, お.じる, おそ.れる, フ, ホ	dreadful, be frightened, fearful
珍	めずら.しい, たから, チン	rare, curious, strange
卵	たまご, ラン	egg, ovum, spawn, roe
湖	みずうみ, コ	lake
狭	せま.い, せば.める, せば.まる, さ, キョウ, コウ	cramped, narrow, contract, tight
喫	の.む, キツ	consume, eat, drink, smoke, receive (a blow)
干	ほ.す, ほ.し-, -ぼ.し, ひ.る, カン	dry, parch, ebb, recede, interfere, intercede
頂	いただ.く, いただき, チョウ	place on the head, receive, top of head, top, summit, peak
虫	むし, チュウ, キ	insect, bug, temper
刷	す.る, -ず.り, -ずり, は.く, サツ	printing, print, brush
湯	ゆ, トウ	hot water, bath, hot spring
箱	はこ, ソウ	box, chest, case, bin, railway car
溶	と.ける, と.かす, と.く, ヨウ	melt, dissolve, thaw
暖	あたた.か, あたた.かい, あたた.まる, あたた.める, ダン, ノン	warmth
鉱	あらがね, コウ	mineral, ore
泣	な.く, キュウ	cry, weep, moan
涙	なみだ, ルイ, レイ	tears, sympathy
匹	ひき, ヒツ	equal, head, counter for small animals, roll of cloth
孫	まご, ソン	grandchild, descendants
鋭	するど.い, エイ	pointed, sharpness, edge, weapon, sharp, violent
枝	えだ, シ	bough, branch, twig, limb, counter for branches
塗	ぬ.る, ぬ.り, まみ.れる, ト	paint, plaster, daub, smear, coating
軒	のき, ケン	flats, counter for houses, eaves
毒	ドク	poison, virus, venom, germ, harm, injury, spite
晩	バン	nightfall, night
叫	さけ.ぶ, キョウ	shout, exclaim, yell
拝	おが.む, おろが.む, ハイ	worship, adore, pray to
氷	こおり, ひ, こお.る, ヒョウ	icicle, ice, hail, freeze, congeal
乾	かわ.く, かわ.かす, ほ.す, ひ.る, いぬい, カン, ケン	drought, dry, dessicate, drink up, heaven, emperor
棒	ボウ	rod, stick, cane, pole, club, line
祈	いの.る, キ	pray, wish
髪	かみ, ハツ	hair of the head
忙	いそが.しい, せわ.しい, おそ.れる, うれえるさま, ボウ, モウ	busy, occupied, restless
拾	ひろ.う, シュウ, ジュウ	pick up, gather, find, go on foot, ten
粉	デシメートル, こ, こな, フン	flour, powder, dust
糸	いと, シ	thread
綿	わた, メン	cotton
才	サイ	genius, years old, cubic shaku
汗	あせ, カン	sweat, perspire
銅	あかがね, ドウ	copper
湿	しめ.る, しめ.す, うるお.う, うるお.す, シツ, シュウ	damp, wet, moist
咲	さ.く, -ざき, ショウ	blossom, bloom
召	め.す, ショウ	seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)
脂	あぶら, シ	fat, grease, tallow, lard, rosin, gum, tar
蒸	む.す, む.れる, む.らす, ジョウ, セイ	steam, heat, sultry, foment, get musty
肌	はだ, キ	texture, skin, body, grain
靴	くつ, カ	shoes
耕	たがや.す, コウ	till, plow, cultivate
鈍	にぶ.い, にぶ.る, にぶ-, なま.る, なまく.ら, ドン	dull, slow, foolish, blunt
恥	は.じる, はじ, は.じらう, は.ずかしい, チ	shame, dishonor
泥	どろ, デイ, ナイ, デ, ニ	mud, mire, adhere to, be attached to
隅	すみ, グウ	corner, nook
偶	たま, グウ	accidentally, even number, couple, man & wife, same kind
灯	ひ, ほ-, ともしび, とも.す, あかり, トウ	lamp, a light, light, counter for lights
辛	から.い, つら.い, -づら.い, かのと, シン	spicy, bitter, hot, acrid
磨	みが.く, す.る, マ	grind, polish, scour, improve, brush (teeth)
麦	むぎ, バク	barley, wheat
姓	セイ, ショウ	surname
筒	つつ, トウ	cylinder, pipe, tube, gun barrel, sleeve
鼻	はな, ビ	nose, snout
粒	つぶ, リュウ	grains, drop, counter for tiny particles
詞	シ	part of speech, words, poetry
偉	えら.い, イ	admirable, greatness, remarkable, conceited, famous, excellent
胃	イ	stomach, paunch, crop, craw
畳	たた.む, たたみ, かさ.なる, ジョウ, チョウ	tatami mat, counter for tatami mats, fold, shut up, do away with
机	つくえ, キ	desk, table
膚	はだ, フ	skin, body, grain, texture, disposition
濯	すす.ぐ, ゆす.ぐ, タク	laundry, wash, pour on, rinse
猫	ねこ, ビョウ	cat
塔	トウ	pagoda, tower, steeple
沸	わ.く, わ.かす, フツ	seethe, boil, ferment, uproar, breed
灰	はい, カイ	ashes, puckery juice, cremate
菓	カ	candy, cakes, fruit
帽	ずきん, おお.う, ボウ, モウ	cap, headgear
枯	か.れる, か.らす, コ	wither, die, dry up, be seasoned
涼	すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに, リョウ	refreshing, nice and cool
舟	ふね, ふな-, -ぶね, シュウ	boat, ship
貝	かい, バイ	shellfish
符	フ	token, sign, mark, tally, charm
憎	にく.む, にく.い, にく.らしい, にく.しみ, ゾウ	hate, detest
皿	さら, ベイ	dish, a helping, plate
肯	がえんじ.る, コウ	agreement, consent, comply with
燥	はしゃ.ぐ, ソウ	parch, dry up
畜	チク	livestock, domestic fowl and animals
坊	ボウ, ボッ	boy, priest's residence, priest
挟	はさ.む, はさ.まる, わきばさ.む, さしはさ.む, キョウ, ショウ	pinch, between
曇	くも.る, ドン	cloudy weather, cloud up
滴	しずく, したた.る, テキ	drip, drop
伺	うかが.う, シ	pay respects, visit, ask, inquire, question, implore
