政	まつりごと, まん, セイ, ショウ	politics, government
参	まい.る, まい-, まじわる, みつ, サン, シン	nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in
利	き.く, リ	profit, advantage, benefit
組	く.む, くみ, -ぐみ, ソ	association, braid, plait, construct, assemble, unite, cooperate, grapple
案	つくえ, アン	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench
信	シン	faith, truth, fidelity, trust
在	あ.る, ザイ	exist, outskirts, suburbs, located in
件	くだん, ケン	affair, case, matter, item
団	かたまり, まる.い, ダン, トン	group, association
側	かわ, がわ, そば, ソク	side, lean, oppose, regret
任	まか.せる, まか.す, ニン	responsibility, duty, term, entrust to, appoint
求	もと.める, キュウ, グ	request, want, wish for, require, demand
次	つ.ぐ, つぎ, ジ, シ	next, order, sequence
昨	サク	yesterday, previous
論	ロン	argument, discourse
官	カン	bureaucrat, the government, organ
増	ま.す, ま.し, ふ.える, ふ.やす, ゾウ	increase, add, augment, gain, promote
係	かか.る, かかり, -がかり, かか.わる, ケイ	person in charge, connection, duty, concern oneself
感	カン	emotion, feeling, sensation
情	なさ.け, ジョウ, セイ	feelings, emotion, passion, sympathy, circumstances, facts
投	な.げる, -な.げ, トウ	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss
示	しめ.す, ジ, シ	show, indicate, point out, express, display
変	か.わる, か.わり, か.える, ヘン	unusual, change, strange
打	う.つ, う.ち-, ぶ.つ, ダ, ダアス	strike, hit, knock, pound, dozen
基	もと, もとい, キ	fundamentals, radical (chem), counter for machines, foundation
各	おのおの, カク	each, every, either
島	しま, トウ	island
直	ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ, チョク, ジキ, ジカ	straightaway, honesty, frankness, fix, repair
両	てる, ふたつ, リョウ	both, old Japanese coin, counter for carriages (e.g., in a train), two
革	かわ, カク	leather, skin, reform, become serious
価	あたい, カ, ケ	value, price
式	シキ	style, ceremony, rite, function, method, system, form, expression
確	たし.か, たし.かめる, カク, コウ	assurance, firm, tight, hard, solid, confirm, clear, evident
果	は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て, カ	fruit, reward, carry out, achieve, complete, end, finish, succeed
勢	いきお.い, はずみ, セイ, ゼイ	forces, energy, military strength
減	へ.る, へ.らす, ゲン	dwindle, decrease, reduce, decline, curtail, get hungry
容	い.れる, ヨウ	contain, form, looks
必	かなら.ず, ヒツ	invariably, certain, inevitable
応	あた.る, まさに, こた.える, オウ, ヨウ, -ノウ	apply, answer, yes, OK, reply, accept
演	エン	performance, act, play, render, stage
歳	とし, とせ, よわい, サイ, セイ	year-end, age, occasion, opportunity
争	あらそ.う, いか.でか, ソウ	contend, dispute, argue
談	ダン	discuss, talk
能	よ.く, ノウ	ability, talent, skill, capacity
無	な.い, ム, ブ	nothingness, none, ain't, nothing, nil, not
再	ふたた.び, サイ, サ	again, twice, second time
位	くらい, ぐらい, イ	rank, grade, throne, crown, about, some
置	お.く, -お.き, チ	placement, put, set, deposit, leave behind, keep, employ, pawn
流	なが.れる, なが.れ, なが.す, -なが.す, リュウ, ル	current, a sink, flow, forfeit
格	カク, コウ, キャク, ゴウ	status, rank, capacity, character, case (law, grammar)
疑	うたが.う, ギ	doubt, distrust, be suspicious, question
過	す.ぎる, -す.ぎる, -す.ぎ, す.ごす, あやま.つ, あやま.ち, よ.ぎる, カ	overdo, exceed, go beyond, error
局	つぼね, キョク	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment
放	はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る, ホウ	set free, release, fire, shoot, emit, banish, liberate
税	ゼイ	tax, duty
検	しら.べる, ケン	examination, investigate
常	つね, とこ-, ジョウ	usual, ordinary, normal, regular
状	ジョウ	status quo, conditions, circumstances, form, appearance
球	たま, キュウ	ball, sphere
営	いとな.む, いとな.み, エイ	occupation, camp, perform, build, conduct (business)
職	ショク, ソク	post, employment, work
与	あた.える, あずか.る, くみ.する, ともに, ヨ	bestow, participate in, give, award, impart, provide, cause, gift, godsend
供	そな.える, とも, -ども, キョウ, ク, クウ, グ	submit, offer, present, serve (meal), accompany
可	-べ.き, -べ.し, カ, コク	can, passable, mustn't, should not, do not
役	ヤク, エキ	duty, war, campaign, drafted labor, office, service, role
構	かま.える, かま.う, コウ	posture, build, pretend
割	わ.る, わり, わ.り, わ.れる, さ.く, カツ	proportion, comparatively, divide, cut, separate, split
身	み, シン	somebody, person, one's station in life
費	つい.やす, つい.える, ヒ	expense, cost, spend, consume, waste
付	つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき, フ	adhere, attach, refer to, append
由	よし, よ.る, ユ, ユウ, ユイ	wherefore, a reason
比	くら.べる, ヒ	compare, race, ratio, Philipines
難	かた.い, -がた.い, むずか.しい, むづか.しい, むつか.しい, -にく.い, ナン	difficult, impossible, trouble, accident, defect
防	ふせ.ぐ, ボウ	ward off, defend, protect, resist
補	おぎな.う, ホ	supplement, supply, make good, offset, compensate, assistant, learner
優	やさ.しい, すぐ.れる, まさ.る, ユウ, ウ	tenderness, excel, surpass, actor, superiority, gentleness
夫	おっと, それ, フ, フウ, ブ	husband, man
収	おさ.める, おさ.まる, シュウ	income, obtain, reap, pay, supply, store
断	た.つ, ことわ.る, さだ.める, ダン	severance, decline, refuse, apologize, warn, dismiss, prohibit, decision, judgement, cutting
石	いし, セキ, シャク, コク	stone
違	ちが.う, ちが.い, ちが.える, -ちが.える, たが.う, たが.える, イ	difference, differ
消	き.える, け.す, ショウ	extinguish, blow out, turn off, neutralize, cancel
境	さかい, キョウ, ケイ	boundary, border, region
神	かみ, かん-, こう-, シン, ジン	gods, mind, soul
番	つが.い, バン	turn, number in a series
規	キ	standard, measure
術	すべ, ジュツ	art, technique, skill, means, trick, resources, magic
展	テン	unfold, expand
導	みちび.く, ドウ	guidance, leading, conduct, usher
備	そな.える, そな.わる, つぶさ.に, ビ	equip, provision, preparation
宅	タク	home, house, residence, our house, my husband
害	ガイ	harm, injury
配	くば.る, ハイ	distribute, spouse, exile, rationing
副	フク	vice-, assistant, aide, duplicate, copy
算	そろ, サン	calculate, divining, number, abacus, probability
条	えだ, すじ, ジョウ, チョウ, デキ	article, clause, item, stripe, streak
独	ひと.り, ドク, トク	single, alone, spontaneously, Germany
警	いまし.める, ケイ	admonish, commandment
育	そだ.つ, そだ.ち, そだ.てる, はぐく.む, イク	bring up, grow up, raise, rear
席	むしろ, セキ	seat, mat, occasion, place
輸	ユ, シュ	transport, send, be inferior
訪	おとず.れる, たず.ねる, と.う, ホウ	call on, visit, look up, offer sympathy
述	の.べる, ジュツ	mention, state, speak, relate
残	のこ.る, のこ.す, そこな.う, のこ.り, ザン, サン	remainder, leftover, balance
想	おも.う, ソウ, ソ	concept, think, idea, thought
線	すじ, セン	line, track
率	ひき.いる, ソツ, リツ, シュツ	ratio, rate, proportion, %, coefficient, factor
農	ノウ	agriculture, farmers
州	す, シュウ, ス	state, province
武	たけ.し, ブ, ム	warrior, military, chivalry, arms
念	ネン	wish, sense, idea, thought, feeling, desire, attention
象	かたど.る, ショウ, ゾウ	elephant, pattern after, imitate, image, shape, sign (of the times)
域	イキ	range, region, limits, stage, level
助	たす.ける, たす.かる, す.ける, すけ, ジョ	help, rescue, assist
労	ろう.する, いたわ.る, いた.ずき, ねぎら, つか.れる, ねぎら.う, ロウ	labor, thank for, reward for, toil, trouble
例	たと.える, レイ	example, custom, usage, precedent
然	しか, しか.り, しか.し, さ, ゼン, ネン	sort of thing, so, if so, in that case, well
張	は.る, -は.り, -ば.り, チョウ	lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)
限	かぎ.る, かぎ.り, -かぎ.り, ゲン	limit, restrict, to best of ability
額	ひたい, ガク	forehead, tablet, plaque, framed picture, sum, amount, volume
環	わ, カン	ring, circle, link, wheel
追	お.う, ツイ	chase, drive away, follow, pursue, meanwhile
商	あきな.う, ショウ	make a deal, selling, dealing in, merchant
葉	は, ヨウ	leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece
伝	つた.わる, つた.える, つた.う, つだ.う, -づた.い, つて, デン, テン	transmit, go along, walk along, follow, report, communicate, legend, tradition
形	かた, -がた, かたち, なり, ケイ, ギョウ	shape, form, style
景	ケイ	scenery, view
落	お.ちる, お.ち, お.とす, ラク	fall, drop, come down, village, hamlet
欧	うた.う, は.く, オウ	Europe
担	かつ.ぐ, にな.う, タン	shouldering, carry, raise, bear
退	しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く, タイ	retreat, withdraw, retire, resign, repel, expel, reject
準	じゅん.じる, じゅん.ずる, なぞら.える, のり, ひと.しい, みずもり, ジュン	semi-, correspond to, proportionate to, conform, imitate
賞	ほ.める, ショウ	prize, reward, praise
辺	あた.り, ほと.り, -べ, ヘン	environs, boundary, border, vicinity
造	つく.る, つく.り, -づく.り, ゾウ	create, make, structure, physique
被	こうむ.る, おお.う, かぶ.る, かぶ.せる, ヒ	incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving
技	わざ, ギ	skill, art, craft, ability, feat, performance, vocation, arts
復	また, フク	restore, return to, revert, resume
負	ま.ける, ま.かす, お.う, フ	defeat, negative, -, minus, bear, owe, assume a responsibility
渡	わた.る, -わた.る, わた.す, ト	transit, ford, ferry, cross, import, deliver, diameter, migrate
失	うしな.う, う.せる, シツ	lose, error, fault, disadvantage, loss
移	うつ.る, うつ.す, イ	shift, move, change, drift, catch (cold, fire), pass into
差	さ.す, さ.し, サ	distinction, difference, variation, discrepancy, margin, balance
個	コ, カ	individual, counter for articles
評	ヒョウ	evaluate, criticism, comment
課	カ	chapter, lesson, section, department, division, counter for chapters (of a book)
末	すえ, マツ, バツ	end, close, tip, powder, posterity
守	まも.る, まも.り, もり, -もり, かみ, シュ, ス	guard, protect, defend, obey
若	わか.い, わか-, も.しくわ, も.し, も.しくは, ごと.し, ジャク, ニャク, ニャ	young, if, perhaps, possibly, low number, immature
脳	のうずる, ノウ, ドウ	brain, memory
極	きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる, キョク, ゴク	poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48
種	たね, -ぐさ, シュ	species, kind, class, variety, seed
美	うつく.しい, ビ, ミ	beauty, beautiful
命	いのち, メイ, ミョウ	fate, command, decree, destiny, life, appoint
含	ふく.む, ふく.める, ガン	contain, include, hold in the mouth, bear in mind, understand, cherish
福	フク	blessing, fortune, luck, wealth
蔵	くら, おさ.める, かく.れる, ゾウ, ソウ	storehouse, hide, own, have, possess
